LncRNA name,Cancer name,Expression pattern,Methods,Pubmed ID,No. of Transcript variants (lncRNAs),LncRNA aliases
"CTA-941F9.9",Colorectal Cancer,down-regulated,"qPCR, Western blot, in vitro knockdown",31343781,1,TCONS_00029353; LINC01589
"CTA-941F9.9",Pancreatic Ductal Adenocarcinoma,up-regulated,qPCR,29923223,1,TCONS_00029353; LINC01589
CTBP1-AS,Prostate Cancer,up-regulated,"qPCR, Western blot, Northern blot, RIP etc.",23644382,1,PCAT10
CTC-497E21.4,Gastric Cancer,up-regulated,qPCR,30763257,2,C5orf66-AS1
CTC-497E21.4,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, other",31451992,2,C5orf66-AS1
"CTD-2020K17.1",Ovarian Cancer,up-regulated,"Microarray, qPCR, Western blot, in vitro knockdown etc.",29504606,1,FMNL1 divergent transcript;HSALNG0116830;lnc-SPATA32-2;NONHSAG021970.2; FMNL1-DT
"CTD-2547G23.4 ",Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, in vitro knockdown",29780284,1,ZKSCAN2 divergent transcript;CTD-2547G23.4;NONHSAG018940.2;ZKSCAN2-DT;HSALNG0110345;HSALNG0110348;HSALNG0110347; ZKSCAN2-DT
CUDR ,Pancreatic Ductal Adenocarcinoma,up-regulated,"qPCR, Western blot, Microarray, other",30272271,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
"CUDR ",Hepatocellular Carcinoma,down-regulated,qPCR etc.,27495068,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36; UCA1
"CUDR",Lung Cancer,up-regulated,qPCR etc.,29731641,1,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36; UCA1
CYTOR,Colorectal Cancer,up-regulated,qRT-PCR etc.,31144988,5,C2orf59; LINC00152; NCRNA00152
CYTOR,Colorectal Cancer,up-regulated,"RIP, Luciferase reporter assay",30064438,5,C2orf59; LINC00152; NCRNA00152
CYTOR,Colon Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP etc.",29606502,5,C2orf59; LINC00152; NCRNA00152
CYTOR,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",30487160,5,C2orf59; LINC00152; NCRNA00152
DANCR,Ovarian Cancer,up-regulated,"qPCR, Luciferase reporter assay, Western blot",31545000,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Ovarian Cancer,up-regulated,"qRT-PCR, RIP",31858532,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Ovarian Cancer,up-regulated,"qRT-PCR , Western blot etc.",31114986,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Cervical Cancer,up-regulated,"qRT-PCR, Western blot",32123519,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Cervical Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RNAi, other",30362591,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Gastric Cancer,up-regulated,"qRT-PCR , Western blot , in vitro knockdown etc.",31002130,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Gastric Cancer,up-regulated,"qPCR, Western blot, RIP etc.",28951520,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Gastric Cancer,up-regulated,qPCR etc.,28618943,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Gastric Cancer,up-regulated,"qPCR, Luciferase reporter assay, Western blot, RNAi",29416741,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Nasopharyngeal Cancer,up-regulated,qPCR,30849642,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Nasopharyngeal Cancer,up-regulated,"qPCR, Western blot",30720067,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Tongue Squamous Cell Carcinoma,up-regulated,"qRT-PCR, Luciferase reporter assay, Western blot",31827393,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Nasopharyngeal Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, RIP, etc.",30555573,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Non Small Cell Lung Cancer,up-regulated,"qPCR , in vitro knockdown etc",32196604,3,differentiation antagonizing non-protein coding RNA;ANCR;AGU2;lncRNA-ANCR;anti-differentiation ncRNA;adipogenesis up-regulated transcript 2;anti-differentiation noncoding RNA;KIAA0114;small nucleolar RNA host gene 13 (non-protein coding);SNHG13;DANCR;HSALNG0034419;NONHSAG037936.2;Putative uncharacterized protein DANCR;Anti-differentiation ncRNA protein;Differentiation antagonizing non-protein coding RNA;Small nucleolar RNA host gene protein 13
DANCR,Non Small Cell Lung Cancer,up-regulated,qPCR,30906628,3,differentiation antagonizing non-protein coding RNA;ANCR;AGU2;lncRNA-ANCR;anti-differentiation ncRNA;adipogenesis up-regulated transcript 2;anti-differentiation noncoding RNA;KIAA0114;small nucleolar RNA host gene 13 (non-protein coding);SNHG13;DANCR;HSALNG0034419;NONHSAG037936.2;Putative uncharacterized protein DANCR;Anti-differentiation ncRNA protein;Differentiation antagonizing non-protein coding RNA;Small nucleolar RNA host gene protein 13
DANCR,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, RIP, etc.",30613152,Refer to ANCR,differentiation antagonizing non-protein coding RNA;ANCR;AGU2;lncRNA-ANCR;anti-differentiation ncRNA;adipogenesis up-regulated transcript 2;anti-differentiation noncoding RNA;KIAA0114;small nucleolar RNA host gene 13 (non-protein coding);SNHG13;DANCR;HSALNG0034419;NONHSAG037936.2;Putative uncharacterized protein DANCR;Anti-differentiation ncRNA protein;Differentiation antagonizing non-protein coding RNA;Small nucleolar RNA host gene protein 13
DANCR,Lung Adenocarcinoma,up-regulated,"qPCR, Western blot, etc.",30535487,Refer to ANCR,differentiation antagonizing non-protein coding RNA;ANCR;AGU2;lncRNA-ANCR;anti-differentiation ncRNA;adipogenesis up-regulated transcript 2;anti-differentiation noncoding RNA;KIAA0114;small nucleolar RNA host gene 13 (non-protein coding);SNHG13;DANCR;HSALNG0034419;NONHSAG037936.2;Putative uncharacterized protein DANCR;Anti-differentiation ncRNA protein;Differentiation antagonizing non-protein coding RNA;Small nucleolar RNA host gene protein 13
DANCR,Lung Cancer,up-regulated,qPCR,29651883,3,differentiation antagonizing non-protein coding RNA;ANCR;AGU2;lncRNA-ANCR;anti-differentiation ncRNA;adipogenesis up-regulated transcript 2;anti-differentiation noncoding RNA;KIAA0114;small nucleolar RNA host gene 13 (non-protein coding);SNHG13;DANCR;HSALNG0034419;NONHSAG037936.2;Putative uncharacterized protein DANCR;Anti-differentiation ncRNA protein;Differentiation antagonizing non-protein coding RNA;Small nucleolar RNA host gene protein 13
DANCR,Non Small Cell Lung Cancer,up-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown etc.",29635134,3,differentiation antagonizing non-protein coding RNA;ANCR;AGU2;lncRNA-ANCR;anti-differentiation ncRNA;adipogenesis up-regulated transcript 2;anti-differentiation noncoding RNA;KIAA0114;small nucleolar RNA host gene 13 (non-protein coding);SNHG13;DANCR;HSALNG0034419;NONHSAG037936.2;Putative uncharacterized protein DANCR;Anti-differentiation ncRNA protein;Differentiation antagonizing non-protein coding RNA;Small nucleolar RNA host gene protein 13
DANCR,Lung Adenocarcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi, RIP etc.",29266795,Refer to ANCR,differentiation antagonizing non-protein coding RNA;ANCR;AGU2;lncRNA-ANCR;anti-differentiation ncRNA;adipogenesis up-regulated transcript 2;anti-differentiation noncoding RNA;KIAA0114;small nucleolar RNA host gene 13 (non-protein coding);SNHG13;DANCR;HSALNG0034419;NONHSAG037936.2;Putative uncharacterized protein DANCR;Anti-differentiation ncRNA protein;Differentiation antagonizing non-protein coding RNA;Small nucleolar RNA host gene protein 13
DANCR,Hepatocellular Carcinoma,up-regulated,"qRT-PCR, Western blot",32103983,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Cholangiocarcinoma,up-regulated,"qPCR, Western blot, luciferase reporter assay etc",32196584,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Hepatocellular Carcinoma,up-regulated,"qRT-PCR, Western blotting, in vitro knockdown, RIP etc.",31038266,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, other",30430564,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Hepatocellular Carcinoma,up-regulated,qPCR etc.,25964079,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",27919960,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Prostate Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, etc.",31486484,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Prostate Cancer,up-regulated,"qPCR, RNAi, Western blot, ChIP etc.",27191265,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Prostate Cancer,up-regulated,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",23728290,3,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
"DARS-AS1",Ovarian Cancer,up-regulated,"qPCR, Luciferase reporter assay, RIP",30964159,2,DARS-AS1; DARS1-AS1
DBH-AS1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Luciferase assay, RIP",30142544,1,NCRNA00118
DBH-AS1,Hepatocellular Carcinoma,down-regulated,"Microarray, qPCR etc.",27894309,1,NCRNA00118
DBH-AS1,Hepatocellular Carcinoma,up-regulated,"qPCR, RNAi, Western blot etc.",26393879,1,NCRNA00118
DCST1-AS1,Gastric Cancer,up-regulated,"qRT-PCR, Western blot",32096164,2,DCST1 antisense RNA 1;RP11-307C12.11;DCST1-AS1;HSALNG0007463;NONHSAG003044.2
DCST1-AS1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",30617187,2,DCST1 antisense RNA 1;RP11-307C12.11;DCST1-AS1;HSALNG0007463;NONHSAG003044.2
DCST1-AS1,Hepatocellular Carcinoma,up-regulated,"Microarray, qPCR, Western blot",31371999,2,DCST1 antisense RNA 1;RP11-307C12.11;DCST1-AS1;HSALNG0007463;NONHSAG003044.2
DCST1-AS1,Hepatocellular Carcinoma,up-regulated,"Microarray, qPCR, Western blot, in vitro knockdown",31364110,2,DCST1 antisense RNA 1;RP11-307C12.11;DCST1-AS1;HSALNG0007463;NONHSAG003044.2
DDN-AS1,Cervical Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, etc.",30582201,2,CAT1507
DDX11-AS1,Colorectal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay",31298324,1,CONCR; SCAT4
DDX11-AS1,Gastric Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown",29912172,1,CONCR; SCAT4
DDX11-AS1,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP etc",32271422,1,CONCR; SCAT4
DDX11-AS1,Gastric Cancer,up-regulated,"qPCR, etc.",29912172,1,CONCR; SCAT4
DDX11-AS1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot etc.",32298476,1,CONCR; SCAT4
DDX11-AS1,Hepatocellular Carcinoma,up-regulated,"qRT-PCR , Western blot , RIP , RNAi , in vitro knockdown etc.",31097223,1,CONCR; SCAT4
DGCR5,Colorectal Cancer,down-regulated,"qPCR, other",31452812,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Pancreatic Ductal Adenocarcinoma,differential expression,qPCR,29207609,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Cervical Cancer,down-regulated,"qPCR, Western blot, etc.",30552671,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Gastric Cancer,down-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.",30515803,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Laryngeal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RNAi, RIP",30980388,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Laryngeal Cancer,up-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown, RIP, etc.",30549038,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Non Small Cell Lung Cancer,down-regulated,"qPCR, Western blot, Luciferase reporter assay",29790668,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Non Small Cell Lung Cancer,up-regulated,"qPCR, Luciferase reporter assay, RIP etc",31799664,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Non Small Cell Lung Cancer,down-regulated,"qPCR, Western blot, Luciferase reporter assay",31241800,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Lung Adenocarcinoma,up-regulated,"qPCR, Western blot etc.",29030962,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay etc.",29663359,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Lung Cancer,down-regulated,"qPCR, Western blot, Luciferase report assay etc.",28744397,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Lung Cancer,up-regulated,"qPCR, western blot etc.",29790668,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Hepatocellular Carcinoma,up-regulated,qPCR,31538334,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Hepatocellular Carcinoma,down-regulated,"qPCR, Western blot, other",30230592,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Hepatocellular Carcinoma,down-regulated,"qPCR, Western blo, Luciferase reporter assay, RNAi, RIP, other",30216442,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Hepatocellular Carcinoma,down-regulated,qPCR etc.,27898409,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR5,Prostate Cancer,down-regulated,"RT-qPCR, Western-Blotting",31920375,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DGCR9,Gastric Cancer,up-regulated,qPCR etc.,29719408,5,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DINO,Gastric Cancer,down-regulated,qPCR,30775800,1,DINO
DIO3OS,Pancreatic Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP",31384177,6,DIO3-OS; DIO3-AS1; C14orf134; NCRNA00041
DKFZP434K028,Gastric Cancer,down-regulated,"Microarray, qPCR etc.",26237576,1,DKFZP434K028
DLEU1,Colorectal Cancer,up-regulated,"qPCR, ChIP, RIP, Northern blot",30098595,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU1,Ovarian Cancer,up-regulated,"qPCR, Western blotting etc.",28598010,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU1,Cervical Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",30581456,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU1,Gastric Cancer,up-regulated,"qPCR, Western blot, RIP",29282356,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU1,Nasopharyngeal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay etc",32214823,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU1,Oral Squamous Cell Carcinoma,up-regulated,"Microarray, qPCR, Western blot",30069008,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, RIP, etc.",30551552,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP",31207081,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU1 (aka DLEU2),Pancreatic Ductal Adenocarcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, other",30382579,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU2,Gastric Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown",29912172,7,ALT1; DLB2; LEU2; RFP2; BCMSUN; RFP2OS; MIR15AHG; TRIM13OS; LINC00022; NCRNA00022
DLEU2,Gastric Cancer,up-regulated,"qPCR, etc.",29912172,7,ALT1; DLB2; LEU2; RFP2; BCMSUN; RFP2OS; MIR15AHG; TRIM13OS; LINC00022; NCRNA00022
DLEU2,Laryngeal Cancer,down-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown etc.",29687850,7,ALT1; DLB2; LEU2; RFP2; BCMSUN; RFP2OS; MIR15AHG; TRIM13OS; LINC00022; NCRNA00022
DLEU2,Non Small Cell Lung Cancer,up-regulated,"Western blot, RIP",31721438,3,"deleted in lymphocytic leukemia 2;LEU2;TRIM13OS;NCRNA00022;LINC00022;MIR15AHG;non-protein coding RNA 22;long intergenic non-protein coding RNA 22;mir-15a-16-1 cluster host gene (non-protein coding);ret finger protein 2 opposite strand;deleted in lymphocytic leukemia, 2;deleted in lymphocytic leukemia 2 (non-protein coding);ALT1;BCMSUN;DLB2;RFP2;RFP2OS;leukemia associated gene 2;HSALNG0097101;DLEU2;DLEU1;HSALNG0097094;NONHSAG013515.2;HSALNG0097100;HSALNG0097096;HSALNG0097089;NONHSAG013511.2"
DLEU2,Non Small Cell Lung Cancer,up-regulated,"qPCR, Luciferase reporter assay, Western blot",31541993,3,"deleted in lymphocytic leukemia 2;LEU2;TRIM13OS;NCRNA00022;LINC00022;MIR15AHG;non-protein coding RNA 22;long intergenic non-protein coding RNA 22;mir-15a-16-1 cluster host gene (non-protein coding);ret finger protein 2 opposite strand;deleted in lymphocytic leukemia, 2;deleted in lymphocytic leukemia 2 (non-protein coding);ALT1;BCMSUN;DLB2;RFP2;RFP2OS;leukemia associated gene 2;HSALNG0097101;DLEU2;DLEU1;HSALNG0097094;NONHSAG013515.2;HSALNG0097100;HSALNG0097096;HSALNG0097089;NONHSAG013511.2"
DLEU2,Hepatocellular Carcinoma,up-regulated,qPCR,32114505,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU2,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, RIP",31376657,3,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021
DLEU7-AS1,Colorectal Cancer,up-regulated,"qPCR, Western blot",29364477,1,DLEU7 antisense RNA 1;DLEU7 antisense RNA 1 (non-protein coding);DLEU1;deleted in lymphocytic leukemia 1;BCMS;BCMS1;DLB1;LEU1;LINC00021;NCRNA00021;XTP6;HSALNG0097105;HSALNG0097125;NONHSAG013524.2;NONHSAG013534.2;lnc-RNASEH2B-4;DLEU7-AS1;NONHSAG013533.2
DLG1-AS1,Cervical Cancer,up-regulated,"qPCR, other",30231238,1,DLG1 antisense RNA 1;DLG1 antisense RNA 1 (non-protein coding);NONHSAG037144.2;HSALNG0032000;DLG1-AS1
DLGAP1-AS1,Hepatocellular Carcinoma,up-regulated,"qRT-PCR, Western blot (WB) analysis, RIP, Luciferase reporter assay",31949128,1,HsT914
DLGAP1-AS1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP",31633236,1,HsT914
DLX6-AS1,Colorectal Cancer,up-regulated,"qRT-PCR , Luciferase reporter assay , RIP , in vitro knockdown etc.",31115000,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Colorectal Cancer,up-regulated,"qPCR, Western blot",31646562,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Ovarian Cancer,up-regulated,"qRT-PCR , Western blot , in vitro knockdown etc.",31081076,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Ovarian Cancer,up-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown, RIP",31378881,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Pancreatic Cancer,up-regulated,"qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.",31118816,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Pancreatic Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RNAi, other",30250401,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Cervical Cancer,up-regulated,"RT-qPCR, Western blot",32077747,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Cervical Cancer,up-regulated,"qPCR, western blot",31539117,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Cervical Cancer,up-regulated,"qPCR, Luciferase reporter assay, in vitro knockdown, etc.",30535431,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP etc.",32239379,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Gastric Cancer,up-regulated,"qRT-PCR , Western blot , RIP , in vitro knockdown etc.",31591939,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Gastric Cancer,up-regulated,"qRT-PCR, Western blotting, in vitro knockdown etc.",31105791,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Gastric Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.",31463827,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Laryngeal Cancer,up-regulated,"qPCR, Western blot etc.",32368147,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Nasopharyngeal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, RIP etc",31782911,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Laryngeal Squamous Cell Cancer,up-regulated,qRT-PCR,31814904,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Non Small Cell Lung Cancer,up-regulated,"qRT-PCR , Western blot , in vitro knockdown etc.",31612030,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, etc.",30551440,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Lung Adenocarcinoma,up-regulated,"Microarray, qPCR, Western blot etc.",26052251,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Liver Cancer,up-regulated,RIP,30805988,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Liver Cancer,up-regulated,"Microarray , qRT-PCR , Luciferase reporter assay , Western blot , RIP etc.",31171015,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DLX6-AS1,Hepatocellular Carcinoma,up-regulated,"qPCR, Luciferase reporter assay, Western blot",29145165,1,Evf-2; DLX6AS; DLX6-AS; NCRNA00212
DNAH17-AS1,Pancreatic Cancer,up-regulated,"qPCR, Western blot, luciferase reporter assay etc.",32351291,1,DNAH17 antisense RNA 1;NONHSAG022893.2;HSALNG0119037
DNM3OS,Epithelial Ovarian Cancer,up-regulated,qPCR etc.,20400975,2,DNM3-AS1; MIR199A2HG
DNM3OS,Gastric Cancer,up-regulated,"qPCR, Western blot",30770102,2,DNM3-AS1; MIR199A2HG
DPP10-AS1,Colorectal Cancer,down-regulated,qPCR,28406230,1,DPP10 antisense RNA 1;BC032913;HSALNG0018139;NONHSAG029050.2;DPP10-AS1
DRAIC,Gastric Cancer,down-regulated,"qPCR, Western blot, RIP etc.",32351584,1,"downregulated RNA in cancer, inhibitor of cell invasion and migration;downregulated RNA in androgen independent cells;lnc-RPLP1-12;HSALNG0106873;HSALNG0106861;HSALNG0106864;HSALNG0106856;NONHSAG017288.2;NONHSAG017290.2;HSALNG0106871;NONHSAG017294.2;HSALNG0106875;HSALNG0106878;HSALNG0106865"
DRAIC,Nasopharyngeal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",31497998,1,"downregulated RNA in cancer, inhibitor of cell invasion and migration;downregulated RNA in androgen independent cells;lnc-RPLP1-12;HSALNG0106873;HSALNG0106861;HSALNG0106864;HSALNG0106856;NONHSAG017288.2;NONHSAG017290.2;HSALNG0106871;NONHSAG017294.2;HSALNG0106875;HSALNG0106878;HSALNG0106865"
DRAIC,Prostate Cancer,down-regulated,"qPCR, RIP",31900260,1,"downregulated RNA in cancer, inhibitor of cell invasion and migration;downregulated RNA in androgen independent cells;lnc-RPLP1-12;HSALNG0106873;HSALNG0106861;HSALNG0106864;HSALNG0106856;NONHSAG017288.2;NONHSAG017290.2;HSALNG0106871;NONHSAG017294.2;HSALNG0106875;HSALNG0106878;HSALNG0106865"
DRAIC,Prostate Cancer,down-regulated,"qPCR, Western blot etc.",25700553,1,"downregulated RNA in cancer, inhibitor of cell invasion and migration;downregulated RNA in androgen independent cells;lnc-RPLP1-12;HSALNG0106873;HSALNG0106861;HSALNG0106864;HSALNG0106856;NONHSAG017288.2;NONHSAG017290.2;HSALNG0106871;NONHSAG017294.2;HSALNG0106875;HSALNG0106878;HSALNG0106865"
DSCAM-AS1,Colorectal Cancer,up-regulated,"qRT-PCR, Western blot",31730864,4,M41
DSCAM-AS1,Ovarian Cancer,up-regulated,"qRT-PCR , Western blot etc.",31173284,4,M41
DSCAM-AS1,Cervical Cancer,up-regulated,"qRT-PCR, Western blot, RIP",31737900,4,M41
DSCAM-AS1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay etc.",32280246,4,M41
DSCAM-AS1,Lung Cancer,up-regulated,"RNA-seq, qPCR",30981459,4,M41
DSCAM-AS1,Non Small Cell Lung Cancer,up-regulated,"qPCR, Western blot",30779076,4,M41
DSCAM-AS1,Hepatocellular Carcinoma,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP",31396335,4,M41
